stringId	preferredName
ENSP00000304697	UBB
ENSP00000319531	GCSH
ENSP00000264414	CUL3
ENSP00000376945	FBXW9
ENSP00000298283	RPL10L
ENSP00000321584	IMPDH2
ENSP00000318646	RPS15A
ENSP00000297540	PHAX
ENSP00000419199	ASB14
ENSP00000352834	MYO1C
ENSP00000273480	RNF7
ENSP00000386717	RPL31
ENSP00000337405	PCID2
ENSP00000314971	TAF1D
ENSP00000255194	AP3B1
ENSP00000328203	TRAIP
ENSP00000378588	TIMM9
ENSP00000204961	EFNB1
ENSP00000342434	BAZ1B
ENSP00000265062	RAB7A
ENSP00000264350	HERC5
ENSP00000369681	USP3
ENSP00000267436	L2HGDH
ENSP00000368797	KBTBD7
ENSP00000373730	H2AFJ
ENSP00000220592	EIF2C2
ENSP00000306330	YWHAG
ENSP00000219334	SMPD3
ENSP00000324392	RNF213
